column_name,explanation
dc_min_monthly_txn_amount_3m,debit card bureau info
dc_min_monthly_txn_amount_6m,debit card bureau info
dc_min_txn_amount_180d,debit card bureau info
dc_min_txn_amount_30d,debit card bureau info
dc_min_txn_amount_360d,debit card bureau info
dc_min_txn_amount_60d,debit card bureau info
dc_min_txn_amount_90d,debit card bureau info
dc_standard_chartered_count,debit card bureau info
dc_state_bank_of_india_count,debit card bureau info
dc_sum_txn_amount_180d,debit card bureau info
dc_sum_txn_amount_30d,debit card bureau info
dc_sum_txn_amount_360d,debit card bureau info
dc_sum_txn_amount_60d,debit card bureau info
dc_sum_txn_amount_90d,debit card bureau info
dc_txn_count_180d,debit card bureau info
dc_txn_count_30d,debit card bureau info
dc_txn_count_360d,debit card bureau info
dc_txn_count_60d,debit card bureau info
dc_txn_count_90d,debit card bureau info
employer,user info
employer_category,user info
employer_id,user info
is_approved_flexi,assessment info
is_approved_premium,assessment info
matched_devices_count,user info
messages_count,user info
monthly_capacity,user info
network_contacts_in_cibil_score_average,network info
network_contacts_in_cibil_score_median,network info
network_contacts_in_cibil_score_negative_count,network info
network_contacts_in_cibil_wilful_defaults_count,network info
network_contacts_in_cibil_write_offs_count,network info
network_contacts_in_declined_users_count,network info
network_contacts_in_disbursed_users_count,network info
network_contacts_in_dpd_30_users_count,network info
network_contacts_in_dpd_60_users_count,network info
network_contacts_in_dpd_90_users_count,network info
network_contacts_in_ps_users_count,network info
network_contacts_in_rejected_users_count,network info
network_contacts_in_users_count,network info
network_contacts_out_cibil_score_average,network info
network_contacts_out_cibil_score_median,network info
network_contacts_out_cibil_score_negative_count,network info
network_contacts_out_cibil_wilful_defaults_count,network info
network_contacts_out_cibil_write_offs_count,network info
network_contacts_out_declined_users_count,network info
network_contacts_out_disbursed_users_count,network info
network_contacts_out_dpd_30_users_count,network info
network_contacts_out_dpd_60_users_count,network info
network_contacts_out_dpd_90_users_count,network info
network_contacts_out_ps_users_count,network info
network_contacts_out_rejected_users_count,network info
network_contacts_out_users_count,network info
perfios_salary_day_of_month,user info
perfios_salary_estimate,user info
perfios_salary_estimate_type,user info
